1, 61.02
2, 55.58
3, 64.72
4, 68.87
5, 67.3
6, 68
7, 73.22
8, 65.82
9, 71.01
10, 71.79
11, 68.07
12, 65.57
13, 66.17
14, 66.13
15, 64.83
16, 72.25
17, 68.51
18, 70.58
19, 68.71
20, 68.16
21, 69.48
22, 69.26
23, 63.05
24, 64.5
25, 63.14
26, 63.72
27, 62.1
28, 70.44
29, 68.46
30, 61.69
31, 67.24
32, 61.64
33, 66.75
34, 60.31
35, 66.1
36, 62.74
37, 59.44
38, 67.85
39, 62.54
40, 68.58
41, 66.99
42, 68.84
43, 62.27
44, 62.46
45, 71.86
46, 68.57
47, 69.9
48, 57.86
49, 69.32
50, 64.86
51, 69.54
52, 69.28
53, 61.87
54, 65.85
55, 67.14
56, 72.84
57, 67.9
58, 67.79
59, 67.35
60, 62.54
61, 61.28
62, 64.35
63, 69.16
64, 60.52
65, 67.87
66, 72.34
67, 71.62
68, 65.1
69, 69.58
70, 61.61
71, 69.54
72, 71.23
73, 62.24
74, 61.62
75, 63.87
76, 61.28
77, 68.23
78, 67.14
79, 60.85
80, 64.35
81, 67.8
82, 59.58
83, 66.06
84, 70.5
85, 60.07
86, 57.96
87, 63.86
88, 63.31
89, 71.05
90, 70.09
91, 64.82
92, 64.66
93, 66.01
94, 70.13
95, 66.01
96, 65.73
97, 63.81
98, 63.3
99, 67.29
100, 65.09
101, 67.5
102, 67.55
103, 64.35
104, 65.12
105, 67.59
106, 68.8
107, 69.62
108, 66.72
109, 70.34
110, 66.02
111, 68.84
112, 60.99
113, 65.9
114, 68.35
115, 64.61
116, 70.84
117, 69.05
118, 68.66
119, 68.52
120, 70.42
121, 57.41
122, 65.87
123, 69.64
124, 72.18
125, 65.51
